店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
和牛焼肉じろうや 介 wagyu＆sake 名古屋駅前本店,050-5492-6517,,愛知県,名古屋市,中村区名駅4-5-15,コスモス名駅イースト3F,https://nbbs200.gorp.jp/,True
全席個室　居酒屋×時間無制限食べ飲み放題 権兵衛　名駅店,050-5488-5491,,愛知県,名古屋市,中村区名駅4-26-12,DK名駅笹島ビル2F,https://nc7b300.gorp.jp/,True
柳橋市場の藁焼きの店 魚柳 名古屋駅店,050-5488-8044,,愛知県,名古屋市,中村区名駅4-15-15,,https://n106405.gorp.jp/,True
福キタル。 名駅四丁目店,050-5485-3386,,愛知県,名古屋市,中村区名駅4-18-15,,https://ncch200.gorp.jp/,True
新和食 ひとはし,052-485-8258,,愛知県,名古屋市,中村区名駅3-17-34,,https://n814502.gorp.jp/,True
地鶏と沖縄琉球しゃぶしゃぶ 個室居酒屋 くろ凪 名古屋駅前店,050-5488-2796,,愛知県,名古屋市,中村区椿町5-5,名古屋サミットホテルB1,https://ncc5400.gorp.jp/,True
炭火居酒屋 名駅 串右衛門,050-5485-0238,,愛知県,名古屋市,中村区椿町13-23,メッツ名古屋ビル3F,https://nc9t800.gorp.jp/,True
名古屋コーチン×個室居酒屋 地鶏坊主 本店,050-5485-1008,,愛知県,名古屋市,中村区名駅3-15-11,M三ダイニングビルB1,https://n244908.gorp.jp/,True
全席個室 鮮や一夜 名駅３丁目店,050-2018-8972,,愛知県,名古屋市,中村区名駅3-16-16,DK名古屋駅前ビル,,
名古屋駅 個室と炉端 居酒屋 旬囲い 名駅駅前店,050-5487-5288,,愛知県,名古屋市,中村区名駅3-22-8,大東海ビルB1,https://nc6j800.gorp.jp/,True
大衆焼肉GYUJIN 名駅本店,050-5489-6304,,愛知県,名古屋市,中村区名駅3-18-22,N.Soleil1F,https://n169677.gorp.jp/,True
全席完全個室 大名古屋酒場坊主 名古屋駅前店,050-5486-2350,,愛知県,名古屋市,中村区名駅4-5-15,コスモス名駅eastビル 2F,https://n169628.gorp.jp/,True
全席完全個室 海鮮居酒屋 大漁（たいりょう） 名駅店,050-5488-5575,,愛知県,名古屋市,中村区名駅4-11-1,コレクトマーク名駅4丁目ビル2F,https://n169644.gorp.jp/,True
完全個室 天ぷら 海鮮 天海 名駅西口店,050-5485-3788,,愛知県,名古屋市,中村区椿町15-27,名駅太閤通口ビル B1,https://n169626.gorp.jp/,True
個室×鮮魚×地鶏 海乃鶏,050-5484-7872,,愛知県,名古屋市,西区名駅3-11-2,2F,https://nc9y200.gorp.jp/,True
鉄板居酒屋 完全個室 天頂,050-5488-3299,,愛知県,名古屋市,中村区則武1-14-25,名駅OTビル,https://nbtz200.gorp.jp/,True
名物厚切り牛タンとレアカツ 個室居酒屋 肉の名古屋邸,050-5494-3300,,愛知県,名古屋市,中村区椿町6-3,太陽ビル3F,https://nc9w000.gorp.jp/,True
完全個室多数 名古屋地鶏 金鯱酒場 名駅西口店,050-5488-2170,,愛知県,名古屋市,中村区椿町15-2,ミタニビル3F,https://n169642.gorp.jp/,True
完全個室 九州料理と海鮮 博多丸 名古屋駅店,050-5486-5949,,愛知県,名古屋市,中村区名駅3-26-6,Third KHビル,https://n169675.gorp.jp/,True
個室居酒屋×メガ盛り宴会 名古屋きんしゃち 名古屋駅前店,080-2115-1922,,愛知県,名古屋市,中村区椿町10-5,サンタウン名駅椿本館7F,https://nc97300.gorp.jp/,True
